"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","vervet_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","gse_slope30m","build_dens","settle_dist"
"764",345,371,"NA","uuid:9ca0d045-9afb-4cdf-98df-ce1e78e5f997","Nyamuma",52,"Male","Mkurya","Primary","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage","Wildlife",9,"No","45_60","9","3","Guarding Fire Shouting","","Elephant","","Elephant","","Often","Cattle Sheep Goat Chicken","26","3","2","NA","NA","15","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1620.4,4.3,"uuid:9ca0d045-9afb-4cdf-98df-ce1e78e5f997",1,0,0,0,0,0,0,0,0,0,0,"baboon",345,0.262751311063766,0.02576719596982,0.326613754034042,0.0423809513449669,0.0142328040674329,4.10905265808105,40.2860946655273,770.243041992188
"765",346,372,"NA","uuid:10d8818d-35a1-47d3-850a-054175eb29d4","Nyamuma",32,"Male","Mkurya","Primary","Yes","8",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","No","Crop_damage","Wildlife",5,"No","15_30","9","3","Guarding Shouting","","Baboon Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1564.7,4.8,"uuid:10d8818d-35a1-47d3-850a-054175eb29d4",1,1,0,0,0,0,0,0,0,0,1,"baboon",346,0.227248683571815,0.0371428579092026,0.446455031633377,0.0439682528376579,0.0140211638063192,3.74837565422058,28.183687210083,22.4932136535645
"766",347,373,"NA","uuid:cc132527-e8d8-4662-a977-47833f3f5251","Rwamchanga",62,"Male","Msukuma","Primary","No","19",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",15,"Yes","0_15","9","4","Guarding Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Goat Dog Chicken","10","NA","14","NA","5","15","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat","1","4","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","Elephant Hyena",1499.5,4.5,"uuid:cc132527-e8d8-4662-a977-47833f3f5251",1,0,0,0,0,0,0,1,0,0,0,"baboon",347,0.338624328374863,0.028888888657093,0.368677258491516,0.0386772491037846,0.012962962500751,3.57424974441528,25.1995334625244,952.511657714844
"767",348,374,"NA","uuid:9a6464a9-97b6-4920-abaf-28b896efa656","Rwamchanga",30,"Male","Mkurya","Primary","Yes","6",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",10,"Yes","0_15","9","3","Guarding Shouting","","Baboon Elephant","","Elephant","","Sometimes","Cattle Dog","25","NA","NA","NA","3","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle","1","NA","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1472.5,4.9,"uuid:9a6464a9-97b6-4920-abaf-28b896efa656",1,1,0,0,0,0,0,1,0,0,1,"baboon",348,0.236931219696999,0.0342857129871845,0.605238080024719,0.0457671955227852,0.0106349205598235,3.38800311088562,13.7602710723877,122.360954284668
"768",349,375,"NA","uuid:f9a9f59a-3cf0-4323-a2cb-d4aa1a5bb4de","Rwamchanga",39,"Male","Mwikoma","Primary","Yes","5",1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,"1","1","1","1","NA","1",4,"Few_times","Yes","Yes","Crop_damage Structure","Wildlife",10,"No","15_30","9","3","Guarding Shouting Wire_fence","","Baboon Elephant","","Elephant","","Always","Cattle Dog Chicken","12","NA","NA","NA","2","12","NA","NA","Grazing_land","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1465.6,4.8,"uuid:f9a9f59a-3cf0-4323-a2cb-d4aa1a5bb4de",1,1,0,0,0,0,0,0,0,0,1,"baboon",349,0.337619036436081,0.0375132262706757,0.435608476400375,0.0441269837319851,0.0124338623136282,3.32058072090149,7.84722280502319,219.166870117188
"769",350,376,"NA","uuid:73a3777f-6ef2-41c1-97bb-c4ec2d41249f","Rwamchanga",43,"Male","Mkurya","Primary","Yes","12",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","No","Crop_damage Structure","Weather",30,"No","30_45","9","2","Guarding Shouting Wire_fence","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1485.6,4.8,"uuid:73a3777f-6ef2-41c1-97bb-c4ec2d41249f",1,0,0,0,0,0,0,0,0,0,0,"baboon",350,0.410793662071228,0.0283068791031837,0.292910039424896,0.0433862432837486,0.00999999977648258,3.31811690330505,10.6655912399292,1667.08264160156
"770",351,377,"NA","uuid:232ce104-baa7-455b-8ae6-3cede662dbdc","Mbirikiri",27,"Male","Mkurya","Post_secondary","Yes","9",1,"Young_boy Men Young_girl Women",1,1,"1","NA","2","3","NA","3",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",4,"No","30_45","9","4","Guarding Shouting Chasing","","Baboon Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1672.4,5,"uuid:232ce104-baa7-455b-8ae6-3cede662dbdc",1,1,0,0,0,0,0,0,0,0,1,"baboon",351,0.248412698507309,0.015185184776783,0.380687832832336,0.0415343903005123,0.022804232314229,3.6192946434021,64.1593399047852,85.7770919799805
"771",352,378,"NA","uuid:6cce39c8-c363-4db1-a512-b0fb7ea6e4d6","Mbirikiri",41,"Male","Mkurya","Primary","Yes","10",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Once_or_twice","Yes","Yes","Crop_damage","Wildlife",10,"No","45_60","9","3","Guarding Fire Shouting Chasing","","Elephant Other","Nungunungu","Elephant","","Often","Cattle Dog Chicken","8","NA","NA","NA","1","5","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1403.8,4.9,"uuid:6cce39c8-c363-4db1-a512-b0fb7ea6e4d6",1,0,0,0,1,0,0,0,0,0,0,"baboon",352,0.353015869855881,0.00476190494373441,0.272698402404785,0.0348148159682751,0.0169312171638012,3.42589402198792,57.0857849121094,1571.36779785156
"772",353,379,"NA","uuid:60061ed3-fe72-435f-9f28-f5aa9db71dee","Bisarara",42,"Male","Mkurya","Primary","Yes","3",1,"Adolesc_boy Men Women",1,1,"NA","1","1","NA","NA","1",4,"Frequently","Yes","No","Crop_damage Structure","Wildlife",8,"No","45_60","9","3","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Always","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1508.5,4.7,"uuid:60061ed3-fe72-435f-9f28-f5aa9db71dee",1,0,0,0,0,0,0,0,0,0,0,"baboon",353,0.29984125494957,0.0659259259700775,0.444920629262924,0.0346031747758389,0.0297883599996567,2.91724824905396,37.2466773986816,516.461242675781
"773",354,380,"NA","uuid:ed0af971-dafa-4f44-9c75-26fa719ab8a6","Bisarara",23,"Male","Mkurya","Primary","Yes","7",1,"Young_boy Men Adolesc_girl Women",1,1,"1","NA","3","NA","2","1",4,"Frequently","Yes","Yes","Crop_damage","Weather",12,"Yes","0_15","9","2","Guarding Shouting","","Elephant","","Elephant","","Often","Cattle Dog","5","NA","NA","NA","2","NA","NA","NA","Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1905.9,5,"uuid:ed0af971-dafa-4f44-9c75-26fa719ab8a6",1,0,0,0,0,0,0,0,0,0,0,"baboon",354,0.388148158788681,0.045343916863203,0.341534405946732,0.0375132262706757,0.030423279851675,2.87010192871094,51.449047088623,1488.69860839844
"774",355,381,"NA","uuid:0a960634-a765-4473-aa97-d564968aafc0","Bisarara",35,"Female","Mkurya","Primary","Yes","8",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","No","Crop_damage","Wildlife",8,"Yes","15_30","8","3","Guarding","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1306.5,4.9,"uuid:0a960634-a765-4473-aa97-d564968aafc0",1,0,0,0,0,0,0,0,0,0,0,"baboon",355,0.324550271034241,0.121111109852791,0.308095246553421,0.0299470890313387,0.0249735452234745,3.05448794364929,63.1646194458008,804.532531738281
"775",356,382,"NA","uuid:df663e55-fd84-4e48-a3dc-61413f843590","Nyamburi",30,"Female","Mkurya","Primary","No","10",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"1","1","2","4","1","1",2,"Once_or_twice","Yes","No","No_conflict","Weather",3,"Yes","0_15","9","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1552.5,4.2,"uuid:df663e55-fd84-4e48-a3dc-61413f843590",0,0,0,0,0,0,0,0,0,0,0,"baboon",356,0.416507929563522,0.0165079366415739,0.21989418566227,0.0467724874615669,0.012116402387619,3.18038082122803,81.014289855957,6268.5361328125
"776",357,383,"NA","uuid:2ff86aa5-edb7-4b97-ac64-53c23d8f14f2","Nyamburi",23,"Female","Mkurya","O_level","Yes","12",1,"",0,0,"NA","NA","NA","NA","NA","NA",3,"Once_or_twice","Yes","Yes","No_conflict","Weather",6,"Yes","0_15","9","3","None","","","","","","","Cattle Dog Chicken","6","NA","NA","NA","2","5","NA","NA","Weather","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1624.6,4.9,"uuid:2ff86aa5-edb7-4b97-ac64-53c23d8f14f2",0,0,0,0,0,0,0,0,0,0,0,"baboon",357,0.421164035797119,0.0202645510435104,0.202698409557343,0.0383068770170212,0.0104232802987099,2.94603157043457,78.6932754516602,4716.515625
"777",358,384,"NA","uuid:3b54820f-0fe8-42b7-8de8-5d542d16b96e","Bisarara",45,"Female","Mkurya","Primary","Yes","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",2,"No","15_30","9","4","Guarding Shouting","","Elephant","","Elephant","","Often","Cattle Sheep Goat Dog Chicken","5","8","3","NA","1","3","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","6","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1602.7,5,"uuid:3b54820f-0fe8-42b7-8de8-5d542d16b96e",1,0,0,0,0,0,0,1,0,0,0,"baboon",358,0.429153442382812,0.0185714289546013,0.162116408348083,0.0388888902962208,0.0101058203727007,2.86792159080505,77.422248840332,3600.66748046875
"778",359,385,"NA","uuid:671d5202-20db-4cf6-ab3f-da888cbe25ac","Bisarara",49,"Female","Mkurya","Primary","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",2,"Once_or_twice","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",25,"No","30_45","9","6","Guarding Shouting","","Elephant","","Elephant","","Always","Cattle Sheep Goat Dog Chicken","50","25","20","NA","2","15","NA","NA","Grazing_land","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","2","3","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant",1613.7,4.7,"uuid:671d5202-20db-4cf6-ab3f-da888cbe25ac",1,0,0,0,0,0,0,1,0,0,0,"baboon",359,0.486613750457764,0.00793650839477777,0.149523809552193,0.0389418005943298,0.0155026456341147,2.8716356754303,86.4299774169922,2454.56030273438
"779",360,386,"NA","uuid:0e0b4081-742b-4b54-b255-3dc7c39104eb","Tamkeri",40,"Female","Mkurya","None","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",5,"Yes","0_15","9","4","Guarding Shouting","","Elephant Other","Bushpig","Elephant","","Always","Cattle Sheep Goat Donkey Dog Chicken Duck","12","5","6","4","3","10","2","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","15","20","NA","NA","NA","Hyena","NA","Hyena","NA","","Sometimes","","","Elephant",1592.8,4.9,"uuid:0e0b4081-742b-4b54-b255-3dc7c39104eb",1,0,0,0,1,0,0,1,0,0,0,"baboon",360,0.461428582668304,0.0357142873108387,0.223809525370598,0.0373544991016388,0.0162433870136738,2.89584493637085,63.938289642334,1084.72802734375
"780",361,387,"NA","uuid:90207e40-544e-4d7d-925e-be48aead9f47","Bisarara",36,"Male","Mkurya","Primary","Yes","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",3,"Yes","0_15","9","4","Guarding Shouting","","Baboon Elephant Other","Nguruwe","Elephant","","Always","Cattle Dog Chicken","2","NA","NA","NA","1","5","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","3","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant",1662.4,5,"uuid:90207e40-544e-4d7d-925e-be48aead9f47",1,1,0,0,1,0,0,1,0,0,1,"baboon",361,0.282857149839401,0.157513231039047,0.308253973722458,0.0298941805958748,0.0176190473139286,3.31761384010315,47.691219329834,104.933662414551
"781",362,388,"NA","uuid:f0177eff-7a03-4dd2-b32c-c6742cec7133","Tamkeri",30,"Male","Mkurya","Primary","Yes","10",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",5,"Yes","0_15","9","4","Guarding Fire Shouting","","Elephant","","Elephant","","Often","Cattle Goat Dog Chicken","5","NA","3","NA","2","8","NA","NA","Low_productivity","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat","3","2","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1624.8,5,"uuid:f0177eff-7a03-4dd2-b32c-c6742cec7133",1,0,0,0,0,0,0,1,0,0,0,"baboon",362,0.509947061538696,0.0124338623136282,0.160952374339104,0.0369312167167664,0.0114814816042781,2.81104779243469,67.0329666137695,2214.8876953125
"782",363,389,"NA","uuid:46ae7408-3b58-4902-8d68-3391d525da0d","Tamkeri",28,"Female","Mkurya","Primary","Yes","5",1,"Young_boy Men Adolesc_girl Women",1,1,"2","NA","1","NA","1","1",4,"Frequently","Yes","No","Crop_damage","Wildlife",3,"No","15_30","9","3","Guarding Shouting","","Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1609.5,5,"uuid:46ae7408-3b58-4902-8d68-3391d525da0d",1,0,0,0,0,0,0,0,0,0,0,"baboon",363,0.480962216854095,0.0742620751261711,0.192851319909096,0.0394048728048801,0.00853703077882528,2.74649906158447,48.6859397888184,1432.29833984375
"783",364,390,"NA","uuid:a4833e81-1e26-49c0-a544-b1fa6af99ed9","Tamkeri",22,"Female","Mkurya","Primary","Yes","4",1,"Young_boy Men Women",1,1,"2","NA","1","NA","NA","1",4,"Once_or_twice","Yes","Yes","Crop_damage","Wildlife",5,"No","30_45","9","3","Guarding Shouting","","Elephant","","Elephant","","Sometimes","Cattle Dog Chicken","6","NA","NA","NA","1","8","NA","NA","Disease","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1628,4.8,"uuid:a4833e81-1e26-49c0-a544-b1fa6af99ed9",1,0,0,0,0,0,0,0,0,0,0,"baboon",364,0.364708989858627,0.194708988070488,0.256984114646912,0.0429100543260574,0.0104761905968189,2.87547588348389,37.1914138793945,259.322875976562
"784",365,391,"NA","uuid:7f06601c-41b8-4f6d-99af-296797ece668","Nyamburi",26,"Female","Mkurya","None","Yes","6",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","3","NA","1",4,"Few_times","Yes","No","No_conflict","Weather",2,"Yes","0_15","9","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1614.9,4.9,"uuid:7f06601c-41b8-4f6d-99af-296797ece668",0,0,0,0,0,0,0,0,0,0,0,"baboon",365,0.411005288362503,0.0195238087326288,0.16772486269474,0.0389418005943298,0.00693121692165732,2.95810079574585,72.890754699707,4135.61962890625
"785",366,392,"NA","uuid:9e5c6eff-5415-4223-868a-a86abf523b61","Kisangura",28,"Female","Mkurya","Primary","Yes","5",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","2","NA","1",4,"Frequently","Yes","Yes","No_conflict","Weather",4,"No","30_45","9","3","None","","","","","","","Dog Chicken","NA","NA","NA","NA","1","6","NA","NA","Disease","Night_contained Day_none","NA","NA","NA_noMedLV","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1693.6,4.8,"uuid:9e5c6eff-5415-4223-868a-a86abf523b61",0,0,0,0,0,0,0,0,0,0,0,"baboon",366,0.43687829375267,0.0267195776104927,0.191111117601395,0.0387301594018936,0.00719576701521873,3.00036978721619,75.3775482177734,6193.3896484375
"786",367,393,"NA","uuid:2ec69d4d-4b2d-45b6-8a4b-8446c36d989f","Makundusi",35,"Female","Mkurya","Primary","Yes","5",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage","Wildlife",4,"No","15_30","9","2","Guarding Fire Shouting","","Elephant","","Elephant","","Never","Cattle Sheep Goat Dog Chicken","50","16","6","NA","4","12","NA","NA","Weather","Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1331.4,5,"uuid:2ec69d4d-4b2d-45b6-8a4b-8446c36d989f",1,0,0,0,0,0,0,0,0,0,0,"baboon",367,0.273280411958694,0.00333333341404796,0.502486765384674,0.0399470888078213,0.0187830682843924,2.56896233558655,29.841552734375,1051.15795898438
"787",368,394,"NA","uuid:1d8f8077-d378-4f91-a245-24d9b9e5ba47","Mosongo",42,"Male","Mkurya","Primary","Yes","15",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Structure","Wildlife",10,"Yes","0_15","9","8","Guarding Fire Shouting","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken","20","21","15","NA","2","21","NA","NA","Low_productivity","Day_dog Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1366.1,4.8,"uuid:1d8f8077-d378-4f91-a245-24d9b9e5ba47",1,0,0,0,1,1,0,0,0,0,0,"baboon",368,0.183862432837486,0.0295767188072205,0.587566137313843,0.024232804775238,0.0077777779661119,2.71973156929016,42.2755317687988,5577.95556640625
"788",369,395,"NA","uuid:d88ff96c-621e-4c13-98d3-dc763f097ccf","Kenokwe",42,"Male","Mkurya","Primary","Yes","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",7,"Yes","0_15","9","4","Guarding Fire Shouting","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken","22","42","12","NA","4","8","NA","NA","Low_productivity","Day_dog Night_contained Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","1","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant",1394.9,4.5,"uuid:d88ff96c-621e-4c13-98d3-dc763f097ccf",1,0,0,0,1,1,0,1,0,0,0,"baboon",369,0.147936508059502,0.0387301594018936,0.598412692546844,0.0210052914917469,0.00941798929125071,2.43909955024719,36.5282707214355,7460.19140625
"789",370,396,"NA","uuid:73361f8c-5124-4bfb-a3d0-58e3e0c0fb75","Mosongo",67,"Male","Mwisenye","Primary","Yes","12",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",9,"Yes","0_15","9","5","Guarding Shouting","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken Duck","23","25","12","NA","4","8","3","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Sheep","NA","NA","3","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant",1454.2,5,"uuid:73361f8c-5124-4bfb-a3d0-58e3e0c0fb75",1,0,0,0,1,1,0,1,0,0,0,"baboon",370,0.159153446555138,0.114285714924335,0.411111116409302,0.0113227516412735,0,4.2227144241333,35.8651237487793,6503.68408203125
"790",371,397,"NA","uuid:293c4ed6-69d0-4a45-9aa5-b9c00cb27bac","Mosongo",40,"Female","Mkurya","Primary","Yes","9",1,"",0,0,"NA","NA","NA","NA","NA","NA",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",3,"No","60_plus","9","2","Guarding Shouting","","Baboon Elephant","","Elephant","","Rarely","Cattle Goat Dog Chicken","10","NA","9","NA","1","9","NA","NA","Low_productivity","Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","2","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1478.4,5,"uuid:293c4ed6-69d0-4a45-9aa5-b9c00cb27bac",1,1,0,0,0,0,0,1,0,0,1,"baboon",371,0.122910052537918,0.132275134325027,0.4846031665802,0.00661375652998686,0.0096825398504734,4.76502990722656,38.4624443054199,9598.6845703125
"791",372,398,"NA","uuid:f39f6359-3fe6-4ac9-93ef-6f9d0adcf934","Mosongo",35,"Male","Mkurya","Primary","Yes","13",1,"",0,0,"NA","NA","NA","NA","NA","NA",2,"Never","Yes","Yes","Livestock_loss_med","Weather",5.5,"Yes","0_15","9","2","Guarding","","","","","","","Cattle Sheep Goat Donkey Dog Chicken","60","40","100","1","2","30","NA","NA","Grazing_land","Day_dog Night_contained Night_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","2","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","6","3","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","",1541.1,4.2,"uuid:f39f6359-3fe6-4ac9-93ef-6f9d0adcf934",0,0,0,0,0,0,0,1,0,0,0,"baboon",372,0.0717460289597511,0.190634921193123,0.498359799385071,0.0166666675359011,0.000793650804553181,4.91834783554077,32.6046600341797,8635.521484375
"792",373,399,"NA","uuid:08b4e26b-b83f-4fb0-8244-69d94e124e86","Kenokwe",24,"Female","Mkurya","Primary","Yes","14",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"4","2","2","3","1","2",4,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",28,"No","45_60","9","4","Guarding Shouting","","Elephant Other","Tumbili","Elephant","","Often","Cattle Sheep Goat Dog Chicken","45","4","10","NA","2","12","NA","NA","Low_productivity","Day_dog Night_contained Night_dog Day_none","NA","NA","Day_guard Night_contain Night_dogs","","NA","Adolesc_boys Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat Sheep","NA","8","4","NA","NA","NA","Hyena","NA","Hyena","NA","","Never","","","Elephant",1411.3,4.9,"uuid:08b4e26b-b83f-4fb0-8244-69d94e124e86",1,0,0,0,1,1,0,1,0,0,0,"baboon",373,0.144126981496811,0.0646560862660408,0.65365082025528,0.0130158727988601,0.00783068779855967,2.38741135597229,24.9784832000732,8457.4873046875
